user_id,username,name,surname,join_date,email,password,role,auth_provider,oauth2_user_id,user_image,status,ban_expiry_time,country,state_region,address,phone_number
6,laura_miller,Laura,Miller,2024-05-31 17:46:18.864761 +00:00,laura.miller@example.com,$2a$10$DrGiK3yC3k/BjiF0dhEbN.lAH5dbfjq9zSEpGoDsADSjPNEe4m.em,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,USA,Texas,"789 Oak St, Houston, TX",+1-713-555-9012
7,kevin_wilson,Kevin,Wilson,2024-05-31 17:46:19.056790 +00:00,kevin.wilson@example.com,$2a$10$iZ1mE4frjEknFvbIi/Dc2uxNZ8duAIqyzn4QgnMZOpw9nlu40W1Xa,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,UK,Wales,"303 High St, Cardiff",+44-2920-555-5678
8,sarah_moore,Sarah,Moore,2024-05-31 17:46:19.255769 +00:00,sarah.moore@example.com,$2a$10$xqNgi7dl57Byl1sigalYQOwyi/mRo8r.RA66y6CxiWwZKVpkgiBy6,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,UK,Scotland,"202 High St, Edinburgh",+44-131-555-1234
9,ryan_taylor,Ryan,Taylor,2024-05-31 17:46:19.439783 +00:00,ryan.taylor@example.com,$2a$10$Ak7GWevh2ffgvpb5lkTqJu9nBsKGslWJ6ZxB08gyqF0P2RPGLCM6W,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,UK,England,"101 High St, London",+44-20-7946-0958
10,olivia_anderson,Olivia,Anderson,2024-05-31 17:46:19.626775 +00:00,olivia.anderson@example.com,$2a$10$sGTSinXbeVmaNOnsUyUJtuyGansOx7ZWNFWXQwZB2s07YtI45nmcq,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,Germany,Hesse,"404 Zeil, Frankfurt",+49-69-555-3456
11,daniel_jackson,Daniel,Jackson,2024-05-31 17:46:19.818768 +00:00,daniel.jackson@example.com,$2a$10$s3Ss4ANrcdaalYYE2e3FOuvUwDqW2kH3NZRfsUr8HDKPrvLCP2Yz6,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,Canada,Ontario,"789 Maple St, Toronto, ON",+1-416-555-9876
12,amelia_white,Amelia,White,2024-05-31 17:46:20.022790 +00:00,amelia.white@example.com,$2a$10$NBTD.JFO8XyLjT8akY6y..q6N.ktNlcCn41kCo2YRsSRL2xc.IA6e,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,Australia,Queensland,"304 George St, Brisbane",+61-7-3403-8888
13,david_harris,David,Harris,2024-05-31 17:46:20.246439 +00:00,david.harris@example.com,$2a$10$UFHRBL6Y9Hd.A7Iao5QZd.OAAHhG/Zs01A3Eq/hiVtI8DJV0Shedu,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,USA,California,"123 Main St, Los Angeles, CA",+1-310-555-1234
14,mia_martin,Mia,Martin,2024-05-31 17:46:20.467452 +00:00,mia.martin@example.com,$2a$10$/fBWOtubFLzd0c2K4ME87ODB6uZhxot175SydcIGYR2ZsY.RSnNMS,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,UK,Northern Ireland,"404 High St, Belfast",+44-28-555-9012
15,joshua_thompson,Joshua,Thompson,2024-05-31 17:46:20.675440 +00:00,joshua.thompson@example.com,$2a$10$Cm0kB4pSzcYMhH7QaGXZdOHugklOwBOGXNH9IhXFIAzZ0VgJCNnRy,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,Canada,Ontario,"789 Maple St, Toronto, ON",+1-416-555-9876
16,ella_garcia,Ella,Garcia,2024-05-31 17:46:20.862440 +00:00,ella.garcia@example.com,$2a$10$0w3//QywIeBzK/AVJ4TIHOJmRAnYw8pU4ffu3iwHkdzcOtfXr.Igu,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,Germany,Bavaria,"101 Königstrasse, Munich",+49-89-555-1234
17,ethan_martinez,Ethan,Martinez,2024-05-31 17:46:21.061470 +00:00,ethan.martinez@example.com,$2a$10$gGDkPun.j3KeVoTiFhTSauUTM1GaNW.T1lI4AWBBaX2e3kYIK0Y4u,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,USA,Texas,"789 Oak St, Houston, TX",+1-713-555-9012
18,sophia_robinson,Sophia,Robinson,2024-05-31 17:46:21.249437 +00:00,sophia.robinson@example.com,$2a$10$ouJzqU/aBsPyl8z/1m0lSu8y3tv9lo2C4heNI6dEnx3xwcok.3sJS,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,Australia,New South Wales,"102 George St, Sydney",+61-2-9374-4000
20,zoe_lee,Zoe,Lee,2024-05-31 17:46:21.667468 +00:00,zoe.lee@example.com,$2a$10$NVo3fKxUuRvdZnab7S0P..aWuQKqM9H8AAc0GotLI0NNOcoNJF2DK,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,USA,Texas,"789 Oak St, Houston, TX",+1-713-555-9012
19,logan_clark,Logan,Clark,2024-05-31 17:46:21.450448 +00:00,logan.clark@example.com,$2a$10$OLjNbt1FRcSIoSYKCT/QE.nxF/fr5MByfFnY.IuKqBnlv9u2ctroO,USER,LOCAL,,https://firebasestorage.googleapis.com/v0/b/swapit-eb176.appspot.com/o/images%2Fdefault_profile_image.png?alt=media&token=12128245-1815-4db4-aec4-6953e11e6cc2,ACTIVE,,Canada,Ontario,"789 Maple St, Toronto, ON",+1-416-555-9876
